in s,C1 in V
-2.98184E-04,-1.144E+00
-2.98178E-04,-1.212E+00
-2.98173E-04,-1.202E+00
-2.98168E-04,-1.280E+00
-2.98163E-04,-1.280E+00
-2.98158E-04,-1.300E+00
-2.98152E-04,-1.319E+00
-2.98147E-04,-1.368E+00
-2.98142E-04,-1.339E+00
-2.98137E-04,-1.378E+00
-2.98132E-04,-1.397E+00
-2.98126E-04,-1.456E+00
-2.98121E-04,-1.437E+00
-2.98116E-04,-1.476E+00
-2.98111E-04,-1.446E+00
-2.98106E-04,-1.524E+00
-2.98100E-04,-1.495E+00
-2.98095E-04,-1.534E+00
-2.98090E-04,-1.505E+00
-2.98085E-04,-1.544E+00
-2.98080E-04,-1.515E+00
-2.98074E-04,-1.563E+00
-2.98069E-04,-1.524E+00
-2.98064E-04,-1.573E+00
-2.98059E-04,-1.544E+00
-2.98054E-04,-1.573E+00
-2.98048E-04,-1.554E+00
-2.98043E-04,-1.593E+00
-2.98038E-04,-1.534E+00
-2.98033E-04,-1.544E+00
-2.98028E-04,-1.534E+00
-2.98022E-04,-1.534E+00
-2.98017E-04,-1.495E+00
-2.98012E-04,-1.505E+00
-2.98007E-04,-1.476E+00
-2.98002E-04,-1.505E+00
-2.97996E-04,-1.466E+00
-2.97991E-04,-1.456E+00
-2.97986E-04,-1.397E+00
-2.97981E-04,-1.427E+00
-2.97976E-04,-1.388E+00
-2.97970E-04,-1.368E+00
-2.97965E-04,-1.349E+00
-2.97960E-04,-1.358E+00
-2.97955E-04,-1.310E+00
-2.97950E-04,-1.271E+00
-2.97944E-04,-1.231E+00
-2.97939E-04,-1.212E+00
-2.97934E-04,-1.144E+00
-2.97929E-04,-1.183E+00
-2.97924E-04,-1.114E+00
-2.97918E-04,-1.124E+00
-2.97913E-04,-1.065E+00
-2.97908E-04,-1.056E+00
-2.97903E-04,-1.007E+00
-2.97898E-04,-9.873E-01
-2.97892E-04,-9.678E-01
-2.97887E-04,-9.385E-01
-2.97882E-04,-8.604E-01
-2.97877E-04,-8.994E-01
-2.97872E-04,-8.604E-01
-2.97866E-04,-8.311E-01
-2.97861E-04,-7.432E-01
-2.97856E-04,-8.018E-01
-2.97851E-04,-7.529E-01
-2.97846E-04,-7.139E-01
-2.97840E-04,-6.650E-01
-2.97835E-04,-6.943E-01
-2.97830E-04,-6.455E-01
-2.97825E-04,-6.455E-01
-2.97820E-04,-5.771E-01
-2.97814E-04,-6.357E-01
-2.97809E-04,-5.576E-01
-2.97804E-04,-5.674E-01
-2.97799E-04,-5.381E-01
-2.97794E-04,-5.771E-01
-2.97788E-04,-4.990E-01
-2.97783E-04,-5.381E-01
-2.97778E-04,-4.600E-01
-2.97773E-04,-5.283E-01
-2.97768E-04,-4.795E-01
-2.97762E-04,-4.990E-01
-2.97757E-04,-4.404E-01
-2.97752E-04,-4.990E-01
-2.97747E-04,-4.697E-01
-2.97742E-04,-4.990E-01
-2.97736E-04,-4.795E-01
-2.97731E-04,-5.088E-01
-2.97726E-04,-4.990E-01
-2.97721E-04,-5.088E-01
-2.97716E-04,-5.088E-01
-2.97710E-04,-5.674E-01
-2.97705E-04,-5.381E-01
-2.97700E-04,-5.771E-01
-2.97695E-04,-5.674E-01
-2.97690E-04,-6.064E-01
-2.97684E-04,-6.064E-01
-2.97679E-04,-6.650E-01
-2.97674E-04,-6.162E-01
-2.97669E-04,-7.139E-01
-2.97664E-04,-7.139E-01
-2.97658E-04,-7.432E-01
-2.97653E-04,-7.041E-01
-2.97648E-04,-7.822E-01
-2.97643E-04,-7.920E-01
-2.97638E-04,-8.506E-01
-2.97632E-04,-8.213E-01
-2.97627E-04,-8.701E-01
-2.97622E-04,-8.896E-01
-2.97617E-04,-9.385E-01
-2.97612E-04,-9.189E-01
-2.97606E-04,-1.007E+00
-2.97601E-04,-9.775E-01
-2.97596E-04,-1.056E+00
-2.97591E-04,-1.046E+00
-2.97586E-04,-1.095E+00
-2.97580E-04,-1.144E+00
-2.97575E-04,-1.144E+00
-2.97570E-04,-1.114E+00
-2.97565E-04,-1.212E+00
-2.97560E-04,-1.222E+00
-2.97554E-04,-1.261E+00
-2.97549E-04,-1.241E+00
-2.97544E-04,-1.300E+00
-2.97539E-04,-1.290E+00
-2.97534E-04,-1.329E+00
-2.97528E-04,-1.339E+00
-2.97523E-04,-1.358E+00
-2.97518E-04,-1.339E+00
-2.97513E-04,-1.407E+00
-2.97508E-04,-1.368E+00
-2.97502E-04,-1.437E+00
-2.97497E-04,-1.417E+00
-2.97492E-04,-1.437E+00
-2.97487E-04,-1.417E+00
-2.97482E-04,-1.476E+00
-2.97476E-04,-1.456E+00
-2.97471E-04,-1.466E+00
-2.97466E-04,-1.437E+00
-2.97461E-04,-1.505E+00
-2.97456E-04,-1.446E+00
-2.97450E-04,-1.495E+00
-2.97445E-04,-1.427E+00
-2.97440E-04,-1.476E+00
-2.97435E-04,-1.446E+00
-2.97430E-04,-1.485E+00
-2.97424E-04,-1.456E+00
-2.97419E-04,-1.476E+00
-2.97414E-04,-1.437E+00
-2.97409E-04,-1.417E+00
-2.97404E-04,-1.378E+00
-2.97398E-04,-1.417E+00
-2.97393E-04,-1.397E+00
-2.97388E-04,-1.388E+00
-2.97383E-04,-1.339E+00
-2.97378E-04,-1.388E+00
-2.97372E-04,-1.339E+00
-2.97367E-04,-1.319E+00
-2.97362E-04,-1.271E+00
-2.97357E-04,-1.310E+00
-2.97352E-04,-1.261E+00
-2.97346E-04,-1.280E+00
-2.97341E-04,-1.222E+00
-2.97336E-04,-1.261E+00
-2.97331E-04,-1.241E+00
-2.97326E-04,-1.212E+00
-2.97320E-04,-1.183E+00
-2.97315E-04,-1.212E+00
-2.97310E-04,-1.163E+00
-2.97305E-04,-1.173E+00
-2.97300E-04,-1.124E+00
-2.97294E-04,-1.192E+00
-2.97289E-04,-1.144E+00
-2.97284E-04,-1.144E+00
-2.97279E-04,-1.144E+00
-2.97274E-04,-1.153E+00
-2.97268E-04,-1.114E+00
-2.97263E-04,-1.144E+00
-2.97258E-04,-1.134E+00
-2.97253E-04,-1.173E+00
-2.97248E-04,-1.114E+00
-2.97242E-04,-1.134E+00
-2.97237E-04,-1.114E+00
-2.97232E-04,-1.202E+00
-2.97227E-04,-1.163E+00
-2.97222E-04,-1.183E+00
-2.97216E-04,-1.153E+00
-2.97211E-04,-1.202E+00
-2.97206E-04,-1.192E+00
-2.97201E-04,-1.231E+00
-2.97196E-04,-1.231E+00
-2.97190E-04,-1.271E+00
-2.97185E-04,-1.251E+00
-2.97180E-04,-1.310E+00
-2.97175E-04,-1.290E+00
-2.97170E-04,-1.368E+00
-2.97164E-04,-1.358E+00
-2.97159E-04,-1.397E+00
-2.97154E-04,-1.397E+00
-2.97149E-04,-1.495E+00
-2.97144E-04,-1.456E+00
-2.97138E-04,-1.515E+00
-2.97133E-04,-1.524E+00
-2.97128E-04,-1.554E+00
-2.97123E-04,-1.632E+00
-2.97118E-04,-1.671E+00
-2.97112E-04,-1.612E+00
-2.97107E-04,-1.700E+00
-2.97102E-04,-1.690E+00
-2.97097E-04,-1.759E+00
-2.97092E-04,-1.739E+00
-2.97086E-04,-1.798E+00
-2.97081E-04,-1.817E+00
-2.97076E-04,-1.866E+00
-2.97071E-04,-1.837E+00
-2.97066E-04,-1.935E+00
-2.97060E-04,-1.935E+00
-2.97055E-04,-1.954E+00
-2.97050E-04,-1.944E+00
-2.97045E-04,-2.003E+00
-2.97040E-04,-2.013E+00
-2.97034E-04,-2.052E+00
-2.97029E-04,-1.993E+00
-2.97024E-04,-2.081E+00
-2.97019E-04,-2.062E+00
-2.97014E-04,-2.120E+00
-2.97008E-04,-2.071E+00
-2.97003E-04,-2.120E+00
-2.96998E-04,-2.091E+00
-2.96993E-04,-2.140E+00
-2.96988E-04,-2.081E+00
-2.96982E-04,-2.140E+00
-2.96977E-04,-2.101E+00
-2.96972E-04,-2.120E+00
-2.96967E-04,-2.081E+00
-2.96962E-04,-2.091E+00
-2.96956E-04,-2.071E+00
-2.96951E-04,-2.101E+00
-2.96946E-04,-2.022E+00
-2.96941E-04,-2.071E+00
-2.96936E-04,-2.022E+00
-2.96930E-04,-2.032E+00
-2.96925E-04,-1.974E+00
-2.96920E-04,-1.983E+00
-2.96915E-04,-1.954E+00
-2.96910E-04,-1.925E+00
-2.96904E-04,-1.866E+00
-2.96899E-04,-1.876E+00
-2.96894E-04,-1.817E+00
-2.96889E-04,-1.827E+00
-2.96884E-04,-1.778E+00
-2.96878E-04,-1.739E+00
-2.96873E-04,-1.671E+00
-2.96868E-04,-1.690E+00
-2.96863E-04,-1.593E+00
-2.96858E-04,-1.612E+00
-2.96852E-04,-1.544E+00
-2.96847E-04,-1.563E+00
-2.96842E-04,-1.476E+00
-2.96837E-04,-1.495E+00
-2.96832E-04,-1.427E+00
-2.96826E-04,-1.368E+00
-2.96821E-04,-1.319E+00
-2.96816E-04,-1.349E+00
-2.96811E-04,-1.290E+00
-2.96806E-04,-1.261E+00
-2.96800E-04,-1.192E+00
-2.96795E-04,-1.212E+00
-2.96790E-04,-1.144E+00
-2.96785E-04,-1.144E+00
-2.96780E-04,-1.065E+00
-2.96774E-04,-1.075E+00
-2.96769E-04,-1.007E+00
-2.96764E-04,-1.026E+00
-2.96759E-04,-9.678E-01
-2.96754E-04,-9.971E-01
-2.96748E-04,-9.385E-01
-2.96743E-04,-9.482E-01
-2.96738E-04,-8.896E-01
-2.96733E-04,-8.994E-01
-2.96728E-04,-8.701E-01
